english,hindi
"Please submit your application form by the end of this month.","कृपया अपना आवेदन पत्र इस महीने के अंत तक जमा करें।"
"This certificate is issued by the Ministry of Education.","यह प्रमाण पत्र शिक्षा मंत्रालय द्वारा जारी किया गया है।"
"Your request has been approved by the department.","आपका अनुरोध विभाग द्वारा स्वीकृत कर लिया गया है।"
"Please bring your identification documents for verification.","सत्यापन के लिए कृपया अपने पहचान दस्तावेज लेकर आएं।"
"The office will remain closed on all national holidays.","कार्यालय सभी राष्ट्रीय अवकाशों पर बंद रहेगा।"
"Applicants must provide proof of residence.","आवेदकों को निवास का प्रमाण देना होगा।"
"Please sign the declaration form at the bottom.","कृपया नीचे घोषणा पत्र पर हस्ताक्षर करें।"
"The meeting is scheduled for 3:00 PM tomorrow.","बैठक कल दोपहर 3:00 बजे निर्धारित है।"
"Your passport will be processed within 15 working days.","आपका पासपोर्ट 15 कार्य दिवसों के भीतर प्रोसेस किया जाएगा।"
"All taxes must be paid before the due date.","सभी करों का भुगतान नियत तारीख से पहले करना होगा।"
"The application deadline has been extended by one week.","आवेदन की समय सीमा एक सप्ताह के लिए बढ़ा दी गई है।"
"Please attach a copy of your Aadhar card.","कृपया अपने आधार कार्ड की एक प्रति संलग्न करें।"
"The department is not responsible for any delay in processing.","प्रोसेसिंग में किसी भी देरी के लिए विभाग जिम्मेदार नहीं है।"
"You may submit your grievance at the help desk.","आप अपनी शिकायत सहायता काउंटर पर जमा कर सकते हैं।"
"The certificate will be valid for a period of five years.","प्रमाण पत्र पांच वर्ष की अवधि के लिए मान्य होगा।"
"Please download the form from the official website.","कृपया आधिकारिक वेबसाइट से फॉर्म डाउनलोड करें।"
"Kindly acknowledge receipt of this letter.","कृपया इस पत्र की प्राप्ति की पावती दें।"
"The scholarship is available for economically disadvantaged students.","छात्रवृत्ति आर्थिक रूप से वंचित छात्रों के लिए उपलब्ध है।"
"Your application has been rejected due to incomplete documentation.","अपूर्ण दस्तावेजीकरण के कारण आपका आवेदन अस्वीकार कर दिया गया है।"
"Please furnish all the required documents within 7 days.","कृपया 7 दिनों के भीतर सभी आवश्यक दस्तावेज प्रस्तुत करें।"
"The property tax must be paid annually.","संपत्ति कर वार्षिक रूप से भुगतान करना होगा।"
"You are hereby summoned to appear before the district court.","आपको एतद्द्वारा जिला न्यायालय के समक्ष उपस्थित होने के लिए समन दिया जाता है।"
"The pension will be credited directly to your bank account.","पेंशन सीधे आपके बैंक खाते में जमा की जाएगी।"
"The competent authority has sanctioned your leave application.","सक्षम प्राधिकारी ने आपके अवकाश आवेदन को मंजूरी दे दी है।"
"Please note that this is the final notice.","कृपया ध्यान दें कि यह अंतिम नोटिस है।"
"Government employees must adhere to the code of conduct.","सरकारी कर्मचारियों को आचार संहिता का पालन करना चाहिए।"
"The tender document must be submitted in a sealed envelope.","निविदा दस्तावेज को एक सीलबंद लिफाफे में जमा करना होगा।"
"The Right to Information Act guarantees transparency in governance.","सूचना का अधिकार अधिनियम शासन में पारदर्शिता की गारंटी देता है।"
"Please retain this receipt for future reference.","कृपया भविष्य के संदर्भ के लिए इस रसीद को रखें।"
"The project completion certificate has been approved.","परियोजना पूर्णता प्रमाण पत्र को मंजूरी दे दी गई है।"
"Your income tax return has been processed successfully.","आपका आयकर रिटर्न सफलतापूर्वक प्रोसेस कर लिया गया है।"
"The government has launched a new scheme for farmers.","सरकार ने किसानों के लिए एक नई योजना शुरू की है।"
"Aadhaar card is mandatory for availing government benefits.","सरकारी लाभ प्राप्त करने के लिए आधार कार्ड अनिवार्य है।"
"Please submit your application before the deadline.","कृपया अपना आवेदन समय सीमा से पहले जमा करें।"
"You are requested to attend the meeting on Friday.","आपसे शुक्रवार को बैठक में उपस्थित होने का अनुरोध है।"
"The government has announced a new policy for farmers.","सरकार ने किसानों के लिए एक नई नीति की घोषणा की है।"
"Your income tax returns must be filed by July 31st.","आपके आयकर रिटर्न 31 जुलाई तक दाखिल किए जाने चाहिए।"
"This document requires your signature on all pages.","इस दस्तावेज़ पर आपके हस्ताक्षर सभी पृष्ठों पर आवश्यक हैं।"
"The court has issued an order in your favor.","न्यायालय ने आपके पक्ष में एक आदेश जारी किया है।"
"Please fill out the form in capital letters using black ink.","कृपया फॉर्म को काली स्याही से बड़े अक्षरों में भरें।"
"All government offices will remain open on the first Saturday of each month.","सभी सरकारी कार्यालय हर महीने के पहले शनिवार को खुले रहेंगे।"
"Your application status can be checked online using the reference number.","आपके आवेदन की स्थिति संदर्भ संख्या का उपयोग करके ऑनलाइन जांची जा सकती है।"
"The subsidy amount will be transferred to your bank account directly.","सब्सिडी की राशि सीधे आपके बैंक खाते में स्थानांतरित की जाएगी।"
"Please provide a self-attested photocopy of your identity card.","कृपया अपने पहचान पत्र की स्व-प्रमाणित फोटोकॉपी प्रदान करें।"
"The land records have been digitized and are available online.","भूमि अभिलेखों को डिजिटल किया गया है और वे ऑनलाइन उपलब्ध हैं।"
"Voters must carry their voter ID card to the polling booth.","मतदाताओं को मतदान केंद्र पर अपना मतदाता पहचान पत्र ले जाना अनिवार्य है।"
"The Public Distribution System ensures food security for all citizens.","सार्वजनिक वितरण प्रणाली सभी नागरिकों के लिए खाद्य सुरक्षा सुनिश्चित करती है।"
"You can register a complaint through the online grievance portal.","आप ऑनलाइन शिकायत पोर्टल के माध्यम से शिकायत दर्ज कर सकते हैं।"
"The certificate should be submitted in original along with two photocopies.","प्रमाण पत्र मूल रूप में दो फोटोकॉपी के साथ जमा किया जाना चाहिए।"
"Your voter ID card will be delivered to your registered address.","आपका मतदाता पहचान पत्र आपके पंजीकृत पते पर भेजा जाएगा।"
"The next hearing of your case is scheduled for September 15th.","आपके मामले की अगली सुनवाई 15 सितंबर को निर्धारित है।"
"A demand draft of Rs. 500 must be enclosed with the application.","आवेदन के साथ 500 रुपये का डिमांड ड्राफ्ट संलग्न होना चाहिए।"
"The scholarship amount will be credited to the student's bank account.","छात्रवृत्ति की राशि छात्र के बैंक खाते में जमा की जाएगी।"
"All correspondence should be addressed to the Registrar.","सभी पत्राचार रजिस्ट्रार को संबोधित किया जाना चाहिए।"
"The deadline for online registration is midnight on July 15th.","ऑनलाइन पंजीकरण की समय सीमा 15 जुलाई की मध्यरात्रि है।"
"Please verify all details before submitting the form.","फॉर्म जमा करने से पहले कृपया सभी विवरणों की जांच करें।"
"The department will not be responsible for any postal delay.","विभाग किसी भी डाक में देरी के लिए जिम्मेदार नहीं होगा।"
"Applicants should have a minimum of 5 years of experience.","आवेदकों के पास कम से कम 5 वर्ष का अनुभव होना चाहिए।"
"The date of birth should be entered in DD/MM/YYYY format.","जन्म तिथि DD/MM/YYYY प्रारूप में दर्ज की जानी चाहिए।"
"Your passport is ready for collection from the Passport Seva Kendra.","आपका पासपोर्ट पासपोर्ट सेवा केंद्र से संग्रह के लिए तैयार है।"
"Candidates must bring their admit card to the examination center.","उम्मीदवारों को परीक्षा केंद्र पर अपना प्रवेश पत्र लाना होगा।"
"Please follow the guidelines issued by the Health Department.","कृपया स्वास्थ्य विभाग द्वारा जारी दिशानिर्देशों का पालन करें।"
"The allotment letter will be issued after verification of documents.","दस्तावेजों के सत्यापन के बाद आवंटन पत्र जारी किया जाएगा।"
"All payments should be made online through the government portal.","सभी भुगतान सरकारी पोर्टल के माध्यम से ऑनलाइन किए जाने चाहिए।"
"The election results will be announced on May 23rd.","चुनाव परिणाम 23 मई को घोषित किए जाएंगे।"
"Students must submit their assignments by the given deadline.","छात्रों को अपना असाइनमेंट दी गई समय सीमा तक जमा करना होगा।"
"Please provide a valid mobile number for OTP verification.","ओटीपी सत्यापन के लिए कृपया एक वैध मोबाइल नंबर प्रदान करें।"
"The hearing has been adjourned to the next date.","सुनवाई अगली तारीख तक स्थगित कर दी गई है।"
